BAL,BAL_solar,BAL_wind-on,BAL_wind-off,BAL_hydro-reservoir,BAL_hydro-ror,Name
32175.20858,0.001816537,0.294416028,0.745119818,44.12044028,595.3062305,
32553.37903,0,0.299240146,0.747858857,44.12044028,595.3062305,
32678.73211,0,0.298557008,0.754902225,44.12044028,595.3062305,
32674.45555,0,0.294030123,0.761817012,44.12044028,595.3062305,
32287.11623,0,0.289962868,0.765513306,44.12044028,595.3062305,
31683.73655,0,0.286045079,0.757983095,44.12044028,595.3062305,
31001.33199,0,0.277651319,0.750413625,44.12044028,595.3062305,
29779.57423,0,0.25506205,0.756767544,44.12044028,595.3062305,
26532.00247,0,0.252644289,0.736827905,44.12044028,595.3062305,
25635.78548,0,0.250150294,0.716078962,44.12044028,595.3062305,
25146.09478,0,0.239734159,0.695747448,44.12044028,595.3062305,
25039.53958,0,0.22678652,0.685853324,44.12044028,595.3062305,
25055.12667,0,0.229521788,0.685837874,44.12044028,595.3062305,
26098.2233,0,0.246793047,0.675230623,44.12044028,595.3062305,
29468.27906,0,0.278589505,0.657674022,44.12044028,595.3062305,
31185.5418,0,0.318543953,0.661954842,44.12044028,595.3062305,
31645.08517,0.000150734,0.364903426,0.67005368,44.12044028,595.3062305,
31895.77103,0.018452321,0.417238618,0.680918998,44.12044028,595.3062305,
32128.27477,0.071241229,0.479734127,0.687413539,44.12044028,595.3062305,
32204.39335,0.08506714,0.476451229,0.707608242,44.12044028,595.3062305,
32172.31244,0.087419657,0.535372012,0.727602697,44.12044028,595.3062305,
32171.15195,0.068186898,0.557525751,0.759064441,44.12044028,595.3062305,
32155.95056,0.052973119,0.566755634,0.78332758,44.12044028,595.3062305,
32147.58354,0.028274238,0.582229805,0.798098459,44.12044028,595.3062305,
32267.38116,0.002045287,0.59683415,0.8047365,44.12044028,595.3062305,
32610.92303,0.00E+00,0.608424107,0.816396158,44.12044028,595.3062305,
32689.22725,0,0.616352837,0.810028526,44.12044028,595.3062305,
32674.45555,0,0.617302632,0.810996941,44.12044028,595.3062305,
32302.75407,0,0.605766513,0.805992551,44.12044028,595.3062305,
31686.68006,0,0.603953489,0.792814663,44.12044028,595.3062305,
30967.13986,0,0.607473277,0.782615363,44.12044028,595.3062305,
29710.03288,0,0.582839364,0.77881231,44.12044028,595.3062305,
26391.53259,0,0.605861454,0.777462153,44.12044028,595.3062305,
25419.81109,0,0.627677849,0.794010933,44.12044028,595.3062305,
24870.72401,0,0.648862921,0.822480395,44.12044028,595.3062305,
24676.06979,0,0.663610382,0.835403469,44.12044028,595.3062305,
24587.34316,0,0.672761397,0.839836241,44.12044028,595.3062305,
25464.04161,0,0.682660017,0.848876845,44.12044028,595.3062305,
28590.62481,0,0.694675267,0.863674237,44.12044028,595.3062305,
30691.42737,0,0.698316896,0.879641086,44.12044028,595.3062305,
